venue,date_post,id,author,length,first,idpauthor,intervention_flag,date_idx
gendercritical,2020-03-08,1451,516,278.97794624396965,76,2.812015503875969,0,-113
gendercritical,2020-03-09,1467,543,281.9522835719155,69,2.701657458563536,0,-112
gendercritical,2020-03-10,1244,487,329.2363344051447,73,2.5544147843942504,0,-111
gendercritical,2020-03-11,1528,547,293.39725130890054,63,2.793418647166362,0,-110
gendercritical,2020-03-12,1046,468,298.84225621414913,45,2.235042735042735,0,-109
gendercritical,2020-03-13,957,391,395.55172413793105,48,2.4475703324808182,0,-108
gendercritical,2020-03-14,966,378,346.0527950310559,46,2.5555555555555554,0,-107
gendercritical,2020-03-15,1238,491,350.2641357027464,54,2.521384928716904,0,-106
gendercritical,2020-03-16,792,375,355.0063131313131,45,2.112,0,-105
gendercritical,2020-03-17,858,337,304.0699300699301,47,2.5459940652818993,0,-104
gendercritical,2020-03-18,730,336,253.95068493150686,43,2.1726190476190474,0,-103
gendercritical,2020-03-19,835,367,341.77964071856286,45,2.2752043596730247,0,-102
gendercritical,2020-03-20,821,388,272.0572472594397,47,2.115979381443299,0,-101
gendercritical,2020-03-21,1052,419,297.75665399239546,74,2.5107398568019095,0,-100
gendercritical,2020-03-22,1091,456,279.74152153987166,80,2.392543859649123,0,-99
gendercritical,2020-03-23,858,361,266.07342657342656,46,2.376731301939058,0,-98
gendercritical,2020-03-24,923,402,302.3629469122427,51,2.2960199004975124,0,-97
gendercritical,2020-03-25,854,366,285.2576112412178,53,2.3333333333333335,0,-96
gendercritical,2020-03-26,901,419,297.7524972253052,64,2.1503579952267304,0,-95
gendercritical,2020-03-27,1343,494,325.6358897989576,93,2.7186234817813766,0,-94
gendercritical,2020-03-28,1087,454,313.4995400183993,67,2.394273127753304,0,-93
gendercritical,2020-03-29,920,416,282.69673913043476,67,2.2115384615384617,0,-92
gendercritical,2020-03-30,1343,520,339.3000744601638,101,2.582692307692308,0,-91
gendercritical,2020-03-31,1103,486,257.0199456029012,71,2.269547325102881,0,-90
gendercritical,2020-04-01,1009,409,346.10505450941525,49,2.466992665036675,0,-89
gendercritical,2020-04-02,1093,489,311.66148215919486,72,2.235173824130879,0,-88
gendercritical,2020-04-03,1039,451,295.6294513955727,61,2.303769401330377,0,-87
gendercritical,2020-04-04,932,439,291.5225321888412,67,2.123006833712984,0,-86
gendercritical,2020-04-05,953,396,281.5613850996852,45,2.4065656565656566,0,-85
gendercritical,2020-04-06,1373,548,301.8623452294246,94,2.5054744525547443,0,-84
gendercritical,2020-04-07,1406,610,305.6671408250356,130,2.3049180327868855,0,-83
gendercritical,2020-04-08,1451,614,288.68573397656786,145,2.3631921824104234,0,-82
gendercritical,2020-04-09,1345,556,332.39628252788106,118,2.4190647482014387,0,-81
gendercritical,2020-04-10,1463,545,311.4155844155844,81,2.684403669724771,0,-80
gendercritical,2020-04-11,1267,443,288.52328334648774,61,2.860045146726862,0,-79
gendercritical,2020-04-12,982,425,358.4725050916497,67,2.3105882352941176,0,-78
gendercritical,2020-04-13,1014,457,364.94773175542406,103,2.2188183807439823,0,-77
gendercritical,2020-04-14,943,395,371.52916224814425,57,2.3873417721518986,0,-76
gendercritical,2020-04-15,1365,471,372.7106227106227,61,2.8980891719745223,0,-75
gendercritical,2020-04-16,1108,462,330.96389891696754,68,2.398268398268398,0,-74
gendercritical,2020-04-17,1237,503,349.0565885206144,84,2.459244532803181,0,-73
gendercritical,2020-04-18,1182,477,340.0761421319797,63,2.4779874213836477,0,-72
gendercritical,2020-04-19,1274,538,340.93014128728413,96,2.3680297397769516,0,-71
gendercritical,2020-04-20,1483,517,332.024275118004,94,2.8684719535783367,0,-70
gendercritical,2020-04-21,1463,523,331.3308270676692,126,2.797323135755258,0,-69
gendercritical,2020-04-22,1276,485,356.7562695924765,85,2.6309278350515464,0,-68
gendercritical,2020-04-23,1228,501,363.4185667752443,66,2.4510978043912175,0,-67
gendercritical,2020-04-24,983,394,379.46286876907425,48,2.49492385786802,0,-66
gendercritical,2020-04-25,1162,458,303.71084337349396,67,2.537117903930131,0,-65
gendercritical,2020-04-26,1112,419,321.5890287769784,62,2.6539379474940334,0,-64
gendercritical,2020-04-27,1101,459,347.12715712988194,78,2.3986928104575163,0,-63
